Filename,Checksum
"irfanview_lang_deutsch.zip","1DDAFF851D9DE8AF48E237BC3097ECF5EF73E685BF567C92DC2E068C6E92A53C"
"irfanview_lang_bulgarian.zip","ADD98B86B06C6B8C1CCE284CD5221BBE2737F32DFB3B8A838F52C37858A436A1"
"irfanview_lang_chinese.zip","37F4BDCC44330ECABDF7C586789F13B9EAD79687ACCACAC650532A50CB1BCF24"
"irfanview_lang_czech.zip","D666CF57698132198825F48EB6FC014246651E473FF13252ADA6AA079CB01625"
"irfanview_lang_estonian.zip","24CE5279327548F5DEED6A25C785D16ED1AF0CD9FAEADCD67FC54C8446E9EE2B"
"irfanview_lang_french.zip","979DD72AE96064AEE4559600FC8D162747005DE79AB1B2BFA164B0CD9D2FFB9B"
"irfanview_lang_greek.zip","632566571C79B37D743B131C846C4BAE5EB23546E60A2D341AD226DBE56F3C95"
"irfanview_lang_hungarian.zip","0C82B7597C3E79656D7BDFC10BE28BD349C635A6745CCD54DA8F72A35574AF87"
"irfanview_lang_italian.zip","CB1AF4781D9D19CA5C24408800F9AC1ADA2912B7D1EF81B82116E53AC9F3743A"
"irfanview_lang_japanese.zip","69ECF8FCCF9A961E54A2A12C0DA9F331EAE31766385241A489CD3E5E60CEE824"
"irfanview_lang_korean.zip","3DE6E8C48E2D3B72333B2373EA11C56412755D6E341877425008B2AC3C0D9D91"
"irfanview_lang_nederlands.zip","D266B6FD5A782BF651910391A4010F154D5D6884303AD449A66198FBDAE1F3A0"
"irfanview_lang_polski.zip","6BFC03D7FEADC8E656C075539A4926CF2E10DC275342C46C397266363C59C687"
"irfanview_lang_portuguese.zip","1295C91DE1CBCDC2F634B32DD2CDF3CFB827FFAFBCF18E3D4ECBD29F3604A949"
"irfanview_lang_portugues-brasil.zip","E230494C9F37EFCDE7EC5A63BE220A789285993E5CBB2B0B072B9983ED25F25C"
"irfanview_lang_russian.zip","D957BEFA6C6785B273D0CE2F27B21B36825DD849FC34827F2999D6B65D9558B6"
"irfanview_lang_slovak.zip","E0F36610D77D324920C4460942114A2C4D8FED07341E5607DA1BC92FB7FF3608"
"irfanview_lang_slovenscina.zip","9AF5B15DAFAECFBAA2BBCA3D35654CAF65C34612282F4BF5FE8F2715F160B878"
"irfanview_lang_spanish.zip","5A06339CE52B5C9435D64FF6C3916171A79FF340C721F96445786E10E80DBF52"
"irfanview_lang_turkish.zip","1D6F5B24870795F119F079D60B30F64C457F9AA9FFF0D8E9C8D28EEBC68CE8C9"
"irfanview_lang_latvian.zip","E8158BAEC8EFC30B38696FA03E0E401818C2D10341ED8205D074A66202FA5057"
"irfanview_lang_norsk.zip","43E31B2387B8910BE781A6E8A888448D16E2E86CEC1C0B10FE486764B065F04C"
"irfanview_lang_dansk.zip","738AB5AC5BA89D90D9185FF6353F062215D395C112C72E87F33E873AC6FA34DB"
"irfanview_lang_romanian.zip","456EB01175F4B743A1D0F13CA1F64EF41F13544E0632598D2E9035604EA5439B"
"irfanview_lang_ukrainian.zip","095E5AB1D8F1AE396822A9CC00EF7F75944F5655B02A5FCE1E22FEB8441DE110"
"irfanview_lang_arabic.zip","4DDF76C7A65C8BEA08B013F2C31624009981C33A8DA56AB775343730CAD80C91"
"irfanview_lang_finnish.zip","271F105662F74C1C6151E56F5662842DD10DC2ED51668A935308723C9EB2CDCC"
"irfanview_lang_catalan.zip","6BF6369AB789E109DA0B5EAF2348E7CE6871A350FF9530F35308040EAF440900"
"irfanview_lang_english_gb.zip","078DC6B64979E86D027C806A2BBB3A3FD2D2C30BBCC90F56CEFDA135F1792798"
"irfanview_lang_hebrew.zip","50EA2CAC5A910AF8E7BEAEB4D1429209FF14E50195D02EBF5168CB3AD3937134"
"irfanview_lang_lithuanian.zip","C3B8C66B3ABBF9CE9749C7E044152D4489ACA52DF390285008D77350CDFC8E50"
"irfanview_lang_swedish.zip","3B020206F22501B758B5D0A7D2FBAD50926EDCB9172B3E31B8331A32AF0C6B7E"
"irfanview_lang_uzbek.zip","DED66B15B046BC4484C388AF9160A4C277050DC26D24AD73C1239E938F4245CD"
